ZOOKEEPER-356,"it shouldn't be much to fix:  in LedgerOutputStream why are you interrupting the thread on BKExceptions in the tests, why are you catching and just logging BKExceptions?"
ZOOKEEPER-356,shouldn't those make the tests fail?
ZOOKEEPER-356,i think down should be volatile in BookieServer why do you pass a BookieHandle to BookieClient in BookKeeper you should probably catch NumberFormatException when you call Long.parseLong its one of those things are are really hard to debug if it happens could you add a comment to the top of BookKeeper to explain how the different znodes are used?
ZOOKEEPER-356,it will really help the next person i think stop and incoming should be updated and read in the same synchronized block right?
ZOOKEEPER-356,in LedgerManager @return says getItem returns a long rather than String are next and errorCounter used in ClientCB?
ZOOKEEPER-356,"just a couple of things:  in BookieHandle, why doesn't stop get set to true on shutdown?"
ZOOKEEPER-356,you need to check all your uses of LOG.info most of them seem to really be LOG.debug in ClientCBWorker stop should be volatile in LedgerHandle shouldn't add/removeBookie be synchronized?
ZOOKEEPER-356,in QuorumEngine should idCounter be synchronized?
ZOOKEEPER-356,"[ Show » ] Benjamin Reed added a comment - 23/Jun/09 09:03 AM just a couple of things:  in BookieHandle, why doesn't stop get set to true on shutdown?"
ZOOKEEPER-356,you need to check all your uses of LOG.info most of them seem to really be LOG.debug in ClientCBWorker stop should be volatile in LedgerHandle shouldn't add/removeBookie be synchronized?
ZOOKEEPER-356,in QuorumEngine should idCounter be synchronized?
ZOOKEEPER-357,"ben, is this is an april fool's joke?"
ZOOKEEPER-357,Where can I get those hungry lions?
ZOOKEEPER-358,Any objection?
ZOOKEEPER-358,"also, specially in this case, since its a  api semantics change, also a test for this should nto be mroe than 2 lines of code?"
ZOOKEEPER-358,Is this a good idea?
ZOOKEEPER-358,"flavio,  was this patch included in ZOOKEEPER-383?"
ZOOKEEPER-360,Is this already covered by existing tests?
ZOOKEEPER-361,"i dont have access to vesta... can you grant me access, so that I can run the tests on the hudson machines?"
ZOOKEEPER-361,giri can you verify this works?
ZOOKEEPER-362,can you review the log calls to make sure that they should be info and error?
ZOOKEEPER-364,"however this is implemented as a proxy, rather than a core part of the server."
ZOOKEEPER-364,Perhaps C?
ZOOKEEPER-364,Perhaps Perl?
ZOOKEEPER-364,"Perhaps some other lang, like python?"
ZOOKEEPER-364,"So the benefits of exercising c, plus we get python binding, plus the benefits of implementing the commands using a scripting lang?"
ZOOKEEPER-366,anyone have an idea of how to test this?
ZOOKEEPER-366,Ben any progress on this?
ZOOKEEPER-366,Should we try to get it into 3.3.3?
ZOOKEEPER-366,Can we have some traction on this fix?
ZOOKEEPER-366,Can we have the patch updated for current release?
ZOOKEEPER-366,Any objections?
ZOOKEEPER-367,"Pat, can you verify that the patch works with the other logs as well that you uploaded?"
ZOOKEEPER-368,What do you think?
ZOOKEEPER-368,"What do people think about the need to break out Observer into its own class, and probably inherit from a base Peer set of classes where the code needs to be shared?"
ZOOKEEPER-368,"rather than adding the inform, why don't we just send the PROPOSE and COMMIT to the Observer as normal, and just make the Observer not send ACKs?"
ZOOKEEPER-368,Should it be a different jira or it is something we can consider for this patch?
ZOOKEEPER-368,did you have a case in mind?
ZOOKEEPER-368,right?
ZOOKEEPER-368,Is it right?
ZOOKEEPER-368,did you have a case in mind?
ZOOKEEPER-368,Why would a follower connect as an observer?
ZOOKEEPER-368,right?
ZOOKEEPER-368,"sorry to get in late here, I think I missed out on most of the discussions, I  will read through the comments before I comment on the approach, but just to clear things:  what is the practical use of Observers?"
ZOOKEEPER-368,What is the real motivation besides Paxos listeners for this?
ZOOKEEPER-368,Is there a valid real world scenario that we would solve or justify with this?
ZOOKEEPER-368,anything else?
ZOOKEEPER-368,"also, how does one configure a node to be an obersver?"
ZOOKEEPER-368,"what if someone does not use Observers, does the code behave the same way as it does now?"
ZOOKEEPER-368,WHat is the backwards compatibility story of this new featrue?
ZOOKEEPER-368,how do we test (probably use systests) for this new featrue?
ZOOKEEPER-368,Would the new servers be able to work with old 3.2 servers?
ZOOKEEPER-368,does that seem reasonable?
ZOOKEEPER-368,"Hi Flavio -  Have you downloaded the lastest patch (78kb, dated 13th July)?"
ZOOKEEPER-368, what is the practical use of Observers?
ZOOKEEPER-368,What is the real motivation besides Paxos listeners for this?
ZOOKEEPER-368,Is there a valid real world scenario that we would solve or justify with this?
ZOOKEEPER-368,anything else?
ZOOKEEPER-368,Do you still think we need more motivation?
ZOOKEEPER-368,Weird - you're applying the patch with patch -p0 < ZOOKEEPER-368.patch from zookeeper root dir?
ZOOKEEPER-368,Do you still think we need more motivation?
ZOOKEEPER-368,"I've only been following this a bit, but some questions around the plan wrt manageability: 1) adding removing observers, observer itself needs to be configured, any changes needed to config on existing ensemble?"
ZOOKEEPER-368,2) JMX - what's the plan?
ZOOKEEPER-368,what additional properties/actions will be supported?
ZOOKEEPER-368,3) 4letter words - same issues as jmx 4) debug-ability - ensure adequate logging (log4j) on ensemble as well as on obs itself 5) security - will an ensemble allow any observer to connect to it?
ZOOKEEPER-368,today we have ensemble participants hardwired into the config of each of the servers right?
ZOOKEEPER-368,"Perhaps a wiki ""proposal"" page should be created that will capture the ""current proposal"" for easy review?"
ZOOKEEPER-368,Comments?
ZOOKEEPER-368,Is it preparing for a forthcoming change?
ZOOKEEPER-368,How does that sound?
ZOOKEEPER-368,I have some higher leveel questions regarding obersvers currently connecting to leader  does an oberserver forward update request to the leader?
ZOOKEEPER-368,How is this handled?
ZOOKEEPER-368,"also, you guys mentioned that an observer should be able to connect for follower later sometime other than just the leader, do you have plans to do that?"
ZOOKEEPER-368,or have you thought about how you would do that and would that require any changes in the design/code changes you are submitting in this jira?
ZOOKEEPER-368,"also, just a cursory look at the patch shows that their is some duplicated code between follower and observers?"
ZOOKEEPER-368,Is that necessary?
ZOOKEEPER-368,Hi Mahadev -   An observer sends REQUEST packets to the Leader just like a Follower would (using the same code) - is this what you meant?
ZOOKEEPER-368,Should QuorumPeerConfig  just throw an exception and fail if peerType is specfied and it does not match either observer or participant?
ZOOKEEPER-368,what do you think?
ZOOKEEPER-368,"Do we want to separate out Observers into a separate class, and retain the Peer-> [Follower|Observer] hierarchy?"
ZOOKEEPER-368,How do we implement Observers - as members of a weight-0 quorum or with INFORM packets and some custom logic on the Leader side?
ZOOKEEPER-368,"hey i'm looking at the patch, can you comment on the VIEWCHANGE message?"
ZOOKEEPER-368,"Henry, could you sketch out your thoughts on how your modifications will handle ensemble changes?"
ZOOKEEPER-368,perhaps we could meet somewhere between here and SF for dinner?
ZOOKEEPER-368,Anyone had a chance to try this out yet?
ZOOKEEPER-368,Is this ok?
ZOOKEEPER-368,"Hey, Now that 3.2.1 has gone out, does it make sense to review this patch?"
ZOOKEEPER-368,Would you be able to upload a new patch for refactor and the other patch?
ZOOKEEPER-368,"Henry, are these throughput values for synchronous or asynchronous operations?"
ZOOKEEPER-368,Does this sound right?
ZOOKEEPER-368,Are there any gotchas about always running the responder thread?
ZOOKEEPER-368,Please bear with me for a little longer:  Could you please update the changes to the test files?
ZOOKEEPER-368,Due to a few recently committed patches they don't apply to trunk any longer; Could you make sure to remove all unnecessary LOG statements?
ZOOKEEPER-368,Is it correct?
ZOOKEEPER-368,Can I have observers with hierarchical quorums?
ZOOKEEPER-368,"Flavio, could you also review the comments on this JIRA as part of your commit review?"
ZOOKEEPER-368,for historical purposes do you have a copy of that summary that was produced of the differences in operation and motivation between zero-weight followers and observers?
ZOOKEEPER-368,Did you try some testing with current servers (killing one at a time and brining them up  in a round robin fashion) just to make sure it works all fine with the current servers (not including the patch)?
ZOOKEEPER-368,what happens if a server configured as follower is suddenly brought down and is made an observer and the other way around as well?
ZOOKEEPER-368,Is this reasonable?
ZOOKEEPER-368,"Should the built docs be included with diffs, or will that all shake out in Hudson?"
ZOOKEEPER-368,"henry,    did you get a chance to test observers with old (meaning without hte patch) zookeeper servers?"
ZOOKEEPER-368,Did you try some testing with current servers (killing one at a time and brining them up in a round robin fashion) just to make sure it works all fine with the current servers (not including the patch)?
ZOOKEEPER-368,what happens if a server configured as follower is suddenly brought down and is made an observer and the other way around as well?
ZOOKEEPER-368,"I don't want to make you generate another patch just to fix the majority check on that message, so if prefer not to do it, could you make sure there is a jira to fix it?"
ZOOKEEPER-368,Would you mind just commenting quickly?
ZOOKEEPER-368,Would you mind running those tests?
ZOOKEEPER-368,This should probably be considered user error?
ZOOKEEPER-373,"flavio,  can you comment on the jira, what specific changes you made?"
ZOOKEEPER-373,isn't it possible that two different threads going to two different ledgers use the same mac?
ZOOKEEPER-373,> isn't it possible that two different threads going to two different > ledgers use the same mac?
ZOOKEEPER-374,what version of gcc is this?
ZOOKEEPER-376,what will happen if I change Makefile.am and the old Makefile still exist?
ZOOKEEPER-376,Will it just run the old makefile or regenrate the Makefile again?
ZOOKEEPER-376,"Also, what happens if I change the configure.ac and the old Makefile still exists?"
ZOOKEEPER-378,So the dir structure would look like   src/contrib/zkperl/Changes src/contrib/zkperl/LICENSE src/contrib/zkperl/MANIFEST src/contrib/zkperl/Makefile.PL src/contrib/zkperl/build src/contrib/zkperl/t   comments?
ZOOKEEPER-378,"I'm fine with zkperl, but how about something like ""perl-client"" or ""zkperl-client""?"
ZOOKEEPER-378,"Also, does it matter that this is the perl binding on top of the C ZK client library, rather than a straight perl based implementation?"
ZOOKEEPER-378,Does this have a build.xml that can drive the tests from the toplevel build.xml?
ZOOKEEPER-378,From the console output it looks like a C++ test dumped core?
ZOOKEEPER-380,comments?
ZOOKEEPER-380,comments?
ZOOKEEPER-383,couldn't we?
ZOOKEEPER-383,What do you think?
ZOOKEEPER-383,Do we need that?
ZOOKEEPER-383,"In case someone needs to use the ledgerhandle or id in the callback he should be able to pass that via   the Object ctx, no?"
ZOOKEEPER-386,Is it worth adding a library dependency to the CLI for this feature?
ZOOKEEPER-386,We're also looking at adding command line support (perhaps through python?
ZOOKEEPER-386,"see ZOOKEEPER-364 ), maybe it makes sense to have ""user tool"" shell in python instead... Basically how many/which shells do we want?"
ZOOKEEPER-386,thoughts?
ZOOKEEPER-386,should we split this jira to address just hte java shell ?
ZOOKEEPER-386,Could you use SVN to re-create the patch?
ZOOKEEPER-386,"ie ""svn diff"" and resubmit?"
ZOOKEEPER-386,"we can support a shell that uses jline if the jar is available, however drops back to non-jline if the jar is not available?"
ZOOKEEPER-386,Regarding your other points:  zkCli.sh - doesn't zkEnv.sh make sure that all jars in $ZOOLIBDIR (which is bin/../lib on my machine) get added to the classpath?
ZOOKEEPER-386,What's the best way to make that happen for a release?
ZOOKEEPER-386,What's the right way to get Hudson to pick up the jar and resume progress on this issue?
ZOOKEEPER-387,WOuld you be able to aadd  the test to ZOOKEEPER-380?
ZOOKEEPER-389,Perhaps you could commit this and add a new JIRA for 4.0 to address this?
ZOOKEEPER-393,Does the streaming interface that Mahadev added (ZOOKEEPER-380) solve your problem?
ZOOKEEPER-395,don't delete the old patch (in general) 3) why not consider zk.py your smoketest/test?
ZOOKEEPER-395,"henry,  are you going to add tests to this patch?"
ZOOKEEPER-395,Any ideas?
ZOOKEEPER-395,would that work?
ZOOKEEPER-395,"also, is their any requirements for python versions?"
ZOOKEEPER-395,Do I need to install some version greater than 2.3?
ZOOKEEPER-395,or some other python module?
ZOOKEEPER-395,"However we will be putting an OO wrapper anyway, right?"
ZOOKEEPER-395,So perhaps renaming isn't such a big deal...?
ZOOKEEPER-395,"I tried running zk.py against a local zk server and this is what I got   onnecting to localhost:2181 -- Connected, handle is  0 Creating sequence node  0   0 Creating sequence node  1   0 Creating sequence node  2   0 Creating sequence node  3   0 Creating sequence node  4   0 ZNode tree -- |---/ ::         |---/zk-python :: data                 |---/zk-python/sequencenode0000000003 :: data                 |---/zk-python/sequencenode0000000004 :: data                 |---/zk-python/sequencenode0000000001 :: data                 |---/zk-python/sequencenode0000000002 :: data                 |---/zk-python/sequencenode0000000000 :: data Segmentation fault   is zk.py working for you henry?"
ZOOKEEPER-395,Is this a clean server?
ZOOKEEPER-395,"Running against the latest module version (0.3), using python 2.3?"
ZOOKEEPER-395,Can you add a chmod task to the build.xml?
ZOOKEEPER-395,"Something like the following:  <target name=""chmod-shell-scripts"">   <chmod perm=""ugo+x"" file=""path/to/zkServer.sh"" />   <chmod perm=""ugo+x"" file=""path/to/run_tests.sh"" /> </target>   and then make the test target depend on it?"
ZOOKEEPER-395,"Still, I'd like to know why it crashed - do you still have the snapshot lying around?"
ZOOKEEPER-395,are there any issues that must be addressed before commit?
ZOOKEEPER-402,"The specific changes look good, however I think we should include the following: 1) I don't see this documented in zookeeper.h api docs, please update the api docs for create/set/get 2) the tests should test all methods - set for example is not tested What methods are impacted?"
ZOOKEEPER-402,"create/get/set, that's it?"
ZOOKEEPER-402,"Do the async versions of the methods also need to be tested, or is that covered by the sync?"
ZOOKEEPER-403,Flavio can you look at the remaining warning?
ZOOKEEPER-403,shouldnt it be -Xlint:path or does -Xlint:-path also work?
ZOOKEEPER-403,Did you add that for the generated files warnings?
ZOOKEEPER-408,"Still some issues in datanode/datatree, Mahadev you are more familiar with this code, can you address?"
ZOOKEEPER-408,"Also, should we change upgrade code or just ignore it?"
ZOOKEEPER-408,Seems like ignore would be good as this is legacy code... thoughts?
ZOOKEEPER-408,"when i removed the final, ClientTest hangs"
ZOOKEEPER-410,Can you take another look?
ZOOKEEPER-411,Can you fix this in all locations in the source?
ZOOKEEPER-411,this patch removes the use of fuser from all the scripts also from the build file... pat can you review this?
ZOOKEEPER-412,Can this issue be closed?
ZOOKEEPER-412,Any thoughts?
ZOOKEEPER-412,Mind changing the basicOffset and resubmitting?
ZOOKEEPER-412,"Flavio Paiva Junqueira, Chris Nauroth: could you take one more look?"
ZOOKEEPER-412,"I see this was taken from the existing code, but could you take the opportunity to change it to something like ""Run Checkstyle coding standard checks""?"
ZOOKEEPER-412,Would you please switch to spaces?
ZOOKEEPER-412,Do you think it makes sense to use a wildcard to put all of ivy.test.lib on the classpath?
ZOOKEEPER-412,Would this be more resilient to change if the dependencies ever change in the future?
ZOOKEEPER-414,"I'm guessing that it wouldn't be helpful to have ""zkServer.sh delete""?"
ZOOKEEPER-417,can you update the jira with the patch that applies to trunk?
ZOOKEEPER-417,should i put the integer in the new error code rather than added a new deprecated constant?
ZOOKEEPER-417,what am i missing?
ZOOKEEPER-417,the patch looks good ... i have some comments –  line 543  in NIOServerCnxn.java   si.setOwner(zk); zk.submitRequest(si);   Can we just use some static final Object adn si.setOwner(Object)?
ZOOKEEPER-417,Is there any use of using zk specifically?
ZOOKEEPER-417,what do you think?
ZOOKEEPER-418,Anyone willing to create a patch and some minimal docs (README.txt) for this?
ZOOKEEPER-419,codepath?
ZOOKEEPER-419,Perhaps add a JIRA that documents we need to verify refcnt at some point?
ZOOKEEPER-419,Is there some facility/extn/addon for python that supports test/verification of refcnt correctness?
ZOOKEEPER-419,codepath?
ZOOKEEPER-420,It seems like this is probably related to ZOOKEEPER-316 as well?
ZOOKEEPER-420,"[exec] Running src/test/clientid_test.py [exec] Traceback (most recent call last): [exec]   File ""src/test/clientid_test.py"", line 21, in ?"
ZOOKEEPER-420,"[exec]     import zookeeper, zktestbase [exec] ImportError: No module named zookeeper [exec] Running src/test/connection_test.py [exec] Traceback (most recent call last): [exec]   File ""src/test/connection_test.py"", line 21, in ?"
ZOOKEEPER-420,"[exec]     import zookeeper, zktestbase [exec] ImportError: No module named zookeeper [exec] Running src/test/create_test.py [exec] Traceback (most recent call last): [exec]   File ""src/test/create_test.py"", line 19, in ?"
ZOOKEEPER-420,"[exec]     import zookeeper, zktestbase, unittest, threading [exec] ImportError: No module named zookeeper [exec] Running src/test/delete_test.py [exec] Traceback (most recent call last): [exec]   File ""src/test/delete_test.py"", line 19, in ?"
ZOOKEEPER-420,"[exec]     import zookeeper, zktestbase, unittest, threading [exec] ImportError: No module named zookeeper [exec] Running src/test/exists_test.py [exec] Traceback (most recent call last): [exec]   File ""src/test/exists_test.py"", line 19, in ?"
ZOOKEEPER-420,"[exec]     import zookeeper, zktestbase, unittest, threading [exec] ImportError: No module named zookeeper [exec] Running src/test/get_set_test.py [exec] Traceback (most recent call last): [exec]   File ""src/test/get_set_test.py"", line 19, in ?"
ZOOKEEPER-420,Any suggestions?
ZOOKEEPER-420,For the last problem - could you add this line to run_tests.sh after the PYTHONPATH is set?
ZOOKEEPER-420,Do you see the PYTHONPATH directory in the list you get?
ZOOKEEPER-420,"also, I still think ant test should be dependent on compile.no?"
ZOOKEEPER-423,"Take a look at ZOOKEEPER-282 - perhaps should wrap this all up together with List<String> listChildren(start, count, order, watch/watcher) type of api (async too) tricky bit is probably the semantics of watch?"
ZOOKEEPER-423,also how to keep track of the znodes btw calls?
ZOOKEEPER-423,It seems like watchers can have much the same semantics as for getChildren?
ZOOKEEPER-423,when that happens some of these options would be hard/very expensive/blocking.
ZOOKEEPER-423,"when the creation happens, we can store the xid with the child's name in the parent data structure since it doesn't change, so CREATED is reasonable."
ZOOKEEPER-423,Does anyone have any thoughts?
ZOOKEEPER-423,Any comments on the APIs would be great - would we rather one getOrderedChild API which took a flag describing whether to get the first or last?
ZOOKEEPER-423,Or a getNthChild API?
ZOOKEEPER-423,allow an ordered access to the child nodes)?
ZOOKEEPER-423,"Could you describe the use case you're thinking of, so we can properly weigh up the idea?"
ZOOKEEPER-423,Is that what you're describing?
ZOOKEEPER-425,Did you actually take a look at the attached MANIFEST.MF?
ZOOKEEPER-425,Are the import and export statements in there correct?
ZOOKEEPER-425,A dumb q: adding this to the manifest of the zk jar will have no effect on non-osgi containers (etc...) correct?
ZOOKEEPER-425,"so i still have the same concern with the full manifest.mf, but before that i was wondering: are you trying to provide the bundle so that other bundles can use zookeeper or so that the bundle can start up a zookeeper server?"
ZOOKEEPER-425,is there already a standard log4j bundle?
ZOOKEEPER-425,Would that be the best idea?
ZOOKEEPER-425,Would it be a good idea to publish a management interface to the service registry when Zookeeper is started by the ManagedService?
ZOOKEEPER-425,"1) would go into build.xml 2) & 3) would be in a contrib package, correct?"
ZOOKEEPER-425,src/contrib/osgi – or is this stuff typically implementation specific such as src/contrib/felix ?
ZOOKEEPER-425,"On part 2 - this is the one that Alan filed ZOOKEEPER-584 for, right?"
ZOOKEEPER-425,"Could we not do the improvement over time in the future, starting off with something that works a bit like in my patch and then making it better over time?"
ZOOKEEPER-425,Do you mean just putting the source code in a separate location or are you also thinking of putting it in a separate jar file?
ZOOKEEPER-425,"Just curious, no ""uses"" clauses?"
ZOOKEEPER-425,Does the zookeeper infrastructure have such an area?
ZOOKEEPER-425,Is there such a phase in the zookeeper build system?
ZOOKEEPER-425,Why not use PAX Exam?
ZOOKEEPER-425,Just to summarize - what's being applied here (patch)?
ZOOKEEPER-425,"Is there a way to load this into something like Apache Felix yet, or does that have to wait for the follow-on jira?"
ZOOKEEPER-426,the plan is to put all of these files in bin and svn add them correct?
ZOOKEEPER-427,"satish, can you just try strace to see which one of thread is spinning?"
ZOOKEEPER-427,"also, with the log files it seems like you are doing a lot of trasactions through some other zookeeper server?"
ZOOKEEPER-432,Do we realyl need that?
ZOOKEEPER-432,A committer can just set the files that you want to be executable while commiting... no?
ZOOKEEPER-432,"also, just checking to confirm that the patch does not implement the other zoo_w* apis with local watches and context objects right?"
ZOOKEEPER-432,So does the python api allow you do pass a ctx object with a local watcherfn?
ZOOKEEPER-436,Could you please re-generate the patch having the zookeeper project folder as the root?
ZOOKEEPER-438,Ben can you take a look at this?
ZOOKEEPER-442,etc... what are we removing?
ZOOKEEPER-442,the trigger or both the trigger and notification(s)?
ZOOKEEPER-442,"what if one client has been notified but not  others (say two clients watch a node N, c1 is on a fast server and gets notified, c2 removes the watch on a slow server before the trigger fires, ...) etc... it would be great if someone was willing to document a proposal(s) and post it on this jira for review/comment."
ZOOKEEPER-442,What are we removing?
ZOOKEEPER-442,The trigger or both?
ZOOKEEPER-442,"Perhaps removal of the watch should itself trigger the notification to all watchers, with a new notification type of ""watch removed""?"
ZOOKEEPER-442,So maybe it's better not to offer a feature that might be misunderstood?
ZOOKEEPER-442,Any ideas?
ZOOKEEPER-442,Are we still interested on this feature after ZOOKEEPER-1177 gets integrated?
ZOOKEEPER-442,"Any leak must be fixed While ZOOKEEPER-1177 fixes server-side, it does not help client-side, is it?"
ZOOKEEPER-442,How should we deal with the asynchronous version of the call?
ZOOKEEPER-442,"Vitalii, I don't understand why would we need to keep track of the watcher group's state (normal/deleting/creating), could you explain?"
ZOOKEEPER-442,"You must sent add watch request, but how do you know it?"
ZOOKEEPER-442,What do you think?
ZOOKEEPER-442,"@Ben,  Can you please take a look at this patch?"
ZOOKEEPER-442,can you put it on reviews.apache.org?
ZOOKEEPER-442,src/java/main/org/apache/zookeeper/ZooKeeper.java <https://reviews.apache.org/r/3364/#comment9414>     Maybe collapse this to if(watchers != null && watchers.contains(watcher)) ?
ZOOKEEPER-442,"Can we have instead two methods, one for removing all watchers and one for just removing a watch if it exists?"
ZOOKEEPER-442,src/java/main/org/apache/zookeeper/ZooKeeper.java <https://reviews.apache.org/r/3364/#comment9416>     ??
ZOOKEEPER-442,"src/java/main/org/apache/zookeeper/ZooKeeper.java <https://reviews.apache.org/r/3364/#comment9426>     all watchers registered by this session, correct?"
ZOOKEEPER-442,"src/java/main/org/apache/zookeeper/ZooKeeper.java <https://reviews.apache.org/r/3364/#comment9427>     this is confusing, what does ""leak"" mean?"
ZOOKEEPER-442,src/java/main/org/apache/zookeeper/ZooKeeper.java <https://reviews.apache.org/r/3364/#comment9428>     @throws?
ZOOKEEPER-442,src/java/main/org/apache/zookeeper/ZooKeeper.java <https://reviews.apache.org/r/3364/#comment9425>     Update all the @since with expected release - looks like 3.5.0 src/java/main/org/apache/zookeeper/ZooKeeper.java <https://reviews.apache.org/r/3364/#comment9429>     why type vs having explicit methods?
ZOOKEEPER-442,"On second thought though, shouldn't we have a ""both"" (or ""alltypes"", etc...) option as well?"
ZOOKEEPER-442,"To reply, visit: https://reviews.apache.org/r/3364/#review4186 ----------------------------------------------------------- src/java/main/org/apache/zookeeper/ZooKeeper.java <https://reviews.apache.org/r/3364/#comment9433>     is it needed?"
ZOOKEEPER-442,Shall we revisit this?
ZOOKEEPER-442,"Rakesh Radhakrishnan just to make sure I'm understanding correctly, the document you put together is based on the current approach/patch, is that right?"
ZOOKEEPER-442,Or are you suggesting a different implementation?
ZOOKEEPER-442,"The offending javadoc warning in the latest patch:  [exec] [javadoc] /home/jenkins/jenkins-slave/workspace/PreCommit-ZOOKEEPER-Build/trunk/src/java/main/org/apache/zookeeper/ZooKeeper.java:2326: warning - Tag @see: can't find removeWatches(String, Watcher, WatcherType, boolean) in org.apache.zookeeper.ZooKeeper The offending line seem to be this: @see #removeWatches(String, Watcher, WatcherType, boolean) Just a guess: wouldn't it be @see  {@link #removeWatches(String, Watcher, WatcherType, boolean)}  ?"
ZOOKEEPER-442,Anyone?
ZOOKEEPER-442,"In:  +        private boolean removeWatches(Map<String, Set<Watcher>> watches, +                Watcher watcher, String path, boolean local, int rc, +                Set<Watcher> removedWatchers) { +            // Check whether watches list contains the given watcher +            boolean containsWatcher = contains(path, watcher, watches); +            if (!containsWatcher) { +                // Watcher not found for the given params +                return false; +            } + +            // Couldn't remove locally as it doesn't sees a success from server +            if (!local && watcher == null && rc != Code.OK.intValue()) { +                return containsWatcher;   shouldn't it return false since it couldn't remove in the server?"
ZOOKEEPER-442,The next part looks wrong too:  +            } else if (!local && rc != Code.OK.intValue()) { +                Set<Watcher> watchers = watches.get(path); +                // Couldn't remove locally as it doesn't sees a success from +                // server +                if (watchers.size() == 1) { +                    return containsWatcher; +                } else if (watchers.remove(watcher)) { +                    // found path watcher +                    removedWatchers.add(watcher); +                    return containsWatcher; +                }   why would watchers.size() == 1 imply that it was that the watches were removed?
ZOOKEEPER-442,"Also, would it make since if they API also allowed to remove all watchers for a given path?"
ZOOKEEPER-442,"In src/java/main/org/apache/zookeeper/ZooKeeper.java:  +        public Map<EventType, Set<Watcher>> removeWatcher(String clientPath, +                Watcher watcher, WatcherType watcherType, boolean local, int rc) +                throws KeeperException { .... +            removedWatchers +                    .put(EventType.ChildWatchRemoved, childWatchersToRem); .... +            case Any: { +                removedWatchers.put(EventType.ChildWatchRemoved, +                        childWatchersToRem);   The call to removedWatchers.put(EventType.ChildWatchRemoved, childWatchersToRem) inside the Any switch clause doesn't seem to be needed, no?"
ZOOKEEPER-442,"Nit in:  +    public void removeWatches(String path, Watcher watcher, +            WatcherType watcherType, boolean local) +            throws InterruptedException, KeeperException { +        final String clientPath = path;   why is assigning to clientPath needed?"
ZOOKEEPER-442,"In the previous comments the path param is referred as clientPath anyway, maybe renamed it?"
ZOOKEEPER-442,""", nwe); +            cb.processResult(nwe.code().intValue(), clientPath, ctx); +            return; +        }   I think we should just throw NoWatcherException otherwise how can the caller of this (async) method know if it failed to be scheduled?"
ZOOKEEPER-442,I think we should just throw NoWatcherException otherwise how can the caller of this (async) method know if it failed to be scheduled?
ZOOKEEPER-442,"If you agree with my point, I'll leave this part alone and fix other comments ?"
ZOOKEEPER-442,"Ah, good catch Camille Fournier - mind filing a bug for that?"
ZOOKEEPER-442,:  https://github.com/apache/zookeeper/blob/trunk/src/c/src/zookeeper.c#L3063 I guess it is also true that this is the first async method that actually does some real client side validation before issuing the call?
ZOOKEEPER-442,Based on the most recent comments are there any other changes pending?
ZOOKEEPER-442,Or should we consider this ready?
ZOOKEEPER-442,why is assigning to clientPath needed?
ZOOKEEPER-442,"In the previous comments the path param is referred as clientPath anyway, maybe renamed it?"
ZOOKEEPER-442,"(note you need to install the 3.5.0-SNAPSHOT artifacts in your local maven cache, you can do this by running ""ant package"" in ZK and copying the resulting artifacts from the build subdir dist-maven directory into your .m2 repository) Does my code make sense?"
ZOOKEEPER-442,"I suspect the issue is that we are setting up some data structures to hold the watch information, but not fully clearing that data when removing the watch any ideas?"
ZOOKEEPER-442,Can you both (Rakesh/Raul) also code review the synchronization around that code?
ZOOKEEPER-442,Are you agreeing to keep operation timeout as CONNECTION_TIMEOUT/5 milliseconds?
ZOOKEEPER-442,Are you agreeing to keep operation timeout as CONNECTION_TIMEOUT/5 milliseconds?
ZOOKEEPER-442,"Given you are using TIME_OUT in this way, perhaps you should use a lower value?"
ZOOKEEPER-443,should we be using that?
ZOOKEEPER-443,"also   -                ZooTrace.logRequest(LOG, traceMask, 'P', request, """"); +                if (LOG.isTraceEnabled()) { +                    ZooTrace.logRequest(LOG, traceMask, 'P', request, """"); +                }   doesn't really need the if does it?"
ZOOKEEPER-445,Is this a bug?
ZOOKEEPER-451,"Why not something like ""enforceQuotaLimit""?"
ZOOKEEPER-451,"PS: you should indicate the parts changed in the JIRA, so besides the server, there was the c and Java client, right?"
ZOOKEEPER-451,Are you willing to create a pull request on GitHub?
ZOOKEEPER-457,Is this something critical for 3.2.0 or can it wait for 3.2.1/3.3.0?
ZOOKEEPER-458,"+1 the patch looks good ... steven, would it be possible to add tests to it?"
ZOOKEEPER-458,Any tips on the best way to do this?
ZOOKEEPER-458,is it passing for you?
ZOOKEEPER-458,Now I'm wondering how the old patch passed?
ZOOKEEPER-458,you can take a look at  http://hudson.zones.apache.org/hudson/job/Zookeeper-Patch-h8.grid.sp2.yahoo.net/76/console are the cppunit tests passing for you?
ZOOKEEPER-458,"Can't tell where it segfaults, it should have connected to the server if the zoo_exists returns ZOK?"
ZOOKEEPER-458,This is the stack trace from the core dump:  #0  0x00002b101d67f6e3 in ??
ZOOKEEPER-458,() from /lib/libc.so.6 #1  0x00002b101d680e98 in ??
ZOOKEEPER-458,"Steven,  can you take a look and see if you find something obvious?"
ZOOKEEPER-458,Have you tried running with valgrind?
ZOOKEEPER-458,Did you get a chacne to take a look at it?
ZOOKEEPER-458,did you find something?
ZOOKEEPER-458,"What do we want to do here guys, push to 3.4.0?"
ZOOKEEPER-459,Do you mean that you get no exception when you try to read from the ledger?
